method,split,kind,level,realization,macro_f1,balanced_accuracy
svm,27,missing,0.05,6,0.8160301624904074,0.8219155844155843
svm,27,missing,0.05,7,0.7509807376086446,0.7623917748917748
svm,27,missing,0.05,8,0.7534387369138342,0.7629329004329004
svm,27,missing,0.05,9,0.7366334072431633,0.7504329004329005
svm,27,missing,0.05,10,0.7932150697570313,0.7987012987012987
svm,27,missing,0.05,11,0.7509533488192025,0.7510281385281385
svm,27,missing,0.05,12,0.7071679900724928,0.7153138528138527
svm,27,missing,0.05,13,0.6942799070847852,0.6909090909090909
svm,27,missing,0.05,14,0.7842144660551389,0.7883658008658008
svm,27,missing,0.05,15,0.7408825219194165,0.7373917748917749
svm,27,missing,0.05,16,0.7797015562435179,0.7867965367965368
svm,27,missing,0.05,17,0.7458715815317465,0.7629329004329004
svm,27,missing,0.05,18,0.7583206672628697,0.7612554112554113
svm,27,missing,0.05,19,0.7730671810459044,0.7742424242424243
svm,27,missing,0.1,0,0.7459979832356463,0.7504329004329003
svm,27,missing,0.1,1,0.7298481124346127,0.7402597402597403
svm,27,missing,0.1,2,0.7512616897188649,0.7526515151515152
svm,27,missing,0.1,3,0.7327694235588973,0.7397186147186148
svm,27,missing,0.1,4,0.7247377622377622,0.7265692640692641
svm,27,missing,0.1,5,0.6917754447593576,0.6925324675324674
svm,27,missing,0.1,6,0.7126837994676906,0.7152056277056278
svm,27,missing,0.1,7,0.6977016885553471,0.7050865800865801
svm,27,missing,0.1,8,0.733346427823172,0.7373917748917749
svm,27,missing,0.1,9,0.7569272291213647,0.7635281385281385
svm,27,missing,0.1,10,0.6917722013758599,0.6919372294372295
svm,27,missing,0.1,11,0.7097124298211255,0.7163961038961038
svm,27,missing,0.1,12,0.6979269438571765,0.6902056277056277
svm,27,missing,0.1,13,0.7345233061512131,0.7521103896103896
svm,27,missing,0.1,14,0.652492046659597,0.6698593073593073
svm,27,missing,0.1,15,0.7223032637024934,0.7271645021645021
svm,27,missing,0.1,16,0.6681234335839599,0.6687229437229437
svm,27,missing,0.1,17,0.7644200830306175,0.7640151515151514
svm,27,missing,0.1,18,0.6836218287704228,0.679491341991342
svm,27,missing,0.1,19,0.7344367623437391,0.7396645021645021
mlp,27,noise,0.05,0,0.7269033776301218,0.7391774891774892
mlp,27,noise,0.05,1,0.7269033776301218,0.7391774891774892
mlp,27,noise,0.05,2,0.7164867109634552,0.7272727272727273
mlp,27,noise,0.05,3,0.7164867109634552,0.7272727272727273
mlp,27,noise,0.05,4,0.713890788873689,0.7272727272727273
mlp,27,noise,0.05,5,0.7144284929977767,0.7272727272727273
mlp,27,noise,0.05,6,0.7017458146049117,0.7153679653679653
mlp,27,noise,0.05,7,0.7266557785905059,0.7391774891774892
mlp,27,noise,0.05,8,0.7140524492825334,0.7272727272727273
mlp,27,noise,0.05,9,0.7269033776301218,0.7391774891774892
mlp,27,noise,0.05,10,0.7119498962375648,0.7272727272727273
mlp,27,noise,0.05,11,0.7164867109634552,0.7272727272727273
mlp,27,noise,0.05,12,0.7140524492825334,0.7272727272727273
mlp,27,noise,0.05,13,0.7164516969578529,0.7272727272727273
mlp,27,noise,0.05,14,0.7104978354978355,0.7267316017316017
mlp,27,noise,0.05,15,0.7017458146049117,0.7153679653679653
mlp,27,noise,0.05,16,0.7140524492825334,0.7272727272727273
mlp,27,noise,0.05,17,0.7164867109634552,0.7272727272727273
mlp,27,noise,0.05,18,0.7140524492825334,0.7272727272727273
mlp,27,noise,0.05,19,0.713890788873689,0.7272727272727273
mlp,27,noise,0.1,0,0.6965732910500352,0.7153679653679653
mlp,27,noise,0.1,1,0.7286529895225546,0.7391774891774892
mlp,27,noise,0.1,2,0.751984126984127,0.7624458874458875
mlp,27,noise,0.1,3,0.7152581717799109,0.7267316017316017
mlp,27,noise,0.1,4,0.7097771380304779,0.7272727272727273
mlp,27,noise,0.1,5,0.7079369274136716,0.7267316017316017
mlp,27,noise,0.1,6,0.7385412036211381,0.7505411255411255
mlp,27,noise,0.1,7,0.7117082134909651,0.7272727272727273
mlp,27,noise,0.1,8,0.7078908799292074,0.7164502164502164
mlp,27,noise,0.1,9,0.6991849065207478,0.7153679653679653
mlp,27,noise,0.1,10,0.7144284929977767,0.7272727272727273
mlp,27,noise,0.1,11,0.7272357723577235,0.7391774891774892
mlp,27,noise,0.1,12,0.7335051092318534,0.7505411255411255
mlp,27,noise,0.1,13,0.7195161341148295,0.7272727272727273
mlp,27,noise,0.1,14,0.7389377092300334,0.7499458874458875
mlp,27,noise,0.1,15,0.7461700127205353,0.7510822510822511
mlp,27,noise,0.1,16,0.7347241222070223,0.751082251082251
mlp,27,noise,0.1,17,0.739725884681723,0.751082251082251
mlp,27,noise,0.1,18,0.7193177214164168,0.7272727272727273
mlp,27,noise,0.1,19,0.7126543799337917,0.7266774891774892
mlp,27,noise,0.2,0,0.7182733966699695,0.7272727272727273
mlp,27,noise,0.2,1,0.7505079918296598,0.7618506493506494
mlp,27,noise,0.2,2,0.7405433975201418,0.751082251082251
mlp,27,noise,0.2,3,0.7122113997113997,0.7272727272727273
mlp,27,noise,0.2,4,0.7085858585858585,0.7267316017316017
mlp,27,noise,0.2,5,0.7331515477587931,0.7505411255411255
mlp,27,noise,0.2,6,0.6777469853189503,0.6903679653679654
mlp,27,noise,0.2,7,0.6829176582392813,0.6926406926406927
mlp,27,noise,0.2,8,0.7036890645586298,0.7267316017316017
mlp,27,noise,0.2,9,0.7207365723923197,0.7380411255411254
mlp,27,noise,0.2,10,0.7069610549319506,0.7158549783549784
